N,종목명,현재가,전일비,등락률,액면가,상장주식수,시가총액,매출액,외국인비율,PER,ROE,토론실
177,현대백화점,"58,200","1,400",2.46%,"5,000","13,620","23,402",23.44,"113,311",6.37,4.36,
178,현대두산인프라코어,"6,860",160,2.39%,"1,000","13,567","197,763",9.66,"5,554,539",2.75,24.63,
179,DL,"63,800",400,0.63%,"5,000","13,370","20,956",10.08,"46,800",8.59,26.52,
180,TIGER 2차전지테마,"20,340",5,0.02%,0,"13,302","65,400",0.17,"1,174,709",N/A,N/A,
181,롯데칠성,"142,500","1,500",1.06%,500,"13,222","9,279",12.82,"31,859",8.7,9.96,
182,KODEX 2차전지산업,"22,055",105,-0.47%,0,"13,123","59,500",0.16,"2,148,008",N/A,N/A,
183,효성티앤씨,"298,000","1,500",-0.50%,"5,000","12,896","4,328",10.06,"26,390",2.64,76.22,
184,TIGER 미국테크TOP10 INDXX,"9,160",30,-0.33%,0,"12,600","137,550",0,"945,755",N/A,N/A,
185,코오롱인더,"45,450",700,-1.52%,"5,000","12,507","27,519",17.62,"113,342",7.2,8.2,
186,롯데제과,"130,000","1,000",0.78%,500,"12,265","9,435",14.55,"5,009",25.25,2.88,
187,후성,"13,050",200,1.56%,500,"12,085","92,607",7.31,"1,103,576",16.21,9.61,
188,대덕전자,"24,300",700,2.97%,500,"12,008","49,417",19.52,"947,423",9.44,9.55,
189,솔루스첨단소재,"34,200",150,0.44%,100,"12,008","35,111",5.23,"96,751",153.36,4,
190,대웅,"20,500",300,1.49%,500,"11,919","58,142",4.47,"22,769",10.57,11.13,
191,삼천리,"293,000","4,000",1.38%,"5,000","11,881","4,055",13.56,"16,443",15.82,4.52,
192,한미반도체,"12,000",250,2.13%,100,"11,870","98,920",4.92,"404,915",10.52,34.59,
193,일진하이솔루스,"32,550",50,0.15%,500,"11,820","36,313",1.39,"46,720",132.32,4.97,
194,한국앤컴퍼니,"12,400",50,0.40%,500,"11,772","94,935",9.16,"87,503",5.21,5.53,
195,동국제강,"12,250",0,0.00%,"5,000","11,691","95,433",23.48,"462,716",1.48,23.41,
196,DGB금융지주,"6,820",50,0.74%,"5,000","11,536","169,146",44.37,"515,390",2.26,9.63,
197,영풍,"620,000","10,000",1.64%,"5,000","11,421","1,842",3.94,"3,819",6.38,3.66,
198,신풍제약,"21,550",250,1.17%,500,"11,418","52,985",6.06,"184,862",-50.95,-3.19,
199,TIGER MSCI Korea TR,"12,955",170,1.33%,0,"11,413","88,100",7.51,"3,747",N/A,N/A,
200,KODEX 종합채권(AA-이상)액티브,"97,550",200,-0.20%,0,"11,331","11,616",0,"1,638",N/A,N/A,
